                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.4706,                 1.3979,                 1.8373,                  0.687,                0.70549,                 0.7779,                0.43567,                 1.4461,                 1.5083,                 1.9018,               0.004654,               0.004654,               0.004654
                     56,                 1.4674,                 1.4012,                 1.8301,                0.70297,                0.69423,                0.75474,                0.40368,                 1.4989,                 1.4237,                 2.0417,               0.004555,               0.004555,               0.004555
                     57,                 1.4399,                 1.3699,                   1.82,                0.65841,                0.73734,                0.73254,                0.40811,                 1.4281,                 1.2939,                 1.9277,               0.004456,               0.004456,               0.004456
                     58,                 1.4749,                 1.4043,                 1.8311,                 0.7566,                0.69637,                 0.7743,                0.39967,                 1.4725,                 1.3531,                 2.0081,               0.004357,               0.004357,               0.004357
                     59,                 1.4326,                  1.365,                 1.8265,                0.60223,                0.78471,                0.72302,                0.41371,                 1.4525,                 1.2161,                 1.9225,               0.004258,               0.004258,               0.004258
                     60,                 1.4399,                 1.3249,                 1.7915,                0.81451,                0.78494,                0.85163,                0.46586,                 1.4696,                 1.1255,                 1.9628,               0.004159,               0.004159,               0.004159
                     61,                  1.391,                 1.3428,                 1.7625,                0.63022,                0.78053,                0.71295,                0.42472,                 1.3362,                  1.278,                 1.8108,                0.00406,                0.00406,                0.00406
                     62,                 1.4285,                 1.3401,                 1.7951,                0.65285,                0.70608,                0.72652,                0.39702,                  1.624,                 1.4579,                 2.0968,               0.003961,               0.003961,               0.003961
                     63,                 1.4227,                 1.3317,                 1.8095,                0.58646,                0.80578,                0.82493,                 0.4896,                 1.3606,                 1.4502,                 1.8488,               0.003862,               0.003862,               0.003862
                     64,                 1.3758,                 1.2643,                 1.7516,                0.78729,                0.73178,                0.81823,                0.42778,                 1.4793,                 1.2524,                 1.9762,               0.003763,               0.003763,               0.003763
                     65,                 1.4325,                 1.3005,                 1.7989,                 0.6922,                0.71956,                0.83561,                0.46128,                 1.4375,                 1.4746,                 1.8901,               0.003664,               0.003664,               0.003664
                     66,                 1.3963,                 1.2754,                 1.7701,                 0.7647,                0.82675,                0.85368,                0.46675,                   1.53,                 1.1006,                 2.0421,               0.003565,               0.003565,               0.003565
                     67,                 1.3865,                 1.2975,                 1.7677,                0.76778,                0.74352,                0.82758,                0.43536,                 1.5837,                 1.2369,                 2.0885,               0.003466,               0.003466,               0.003466
                     68,                 1.3623,                 1.2593,                 1.7447,                0.50814,                 0.6825,                0.71531,                0.34239,                 1.5644,                 1.5714,                  2.062,               0.003367,               0.003367,               0.003367
                     69,                 1.3707,                  1.247,                 1.7411,                0.80572,                0.83119,                0.89112,                0.51484,                 1.4108,                 1.0306,                 1.9117,               0.003268,               0.003268,               0.003268
                     70,                 1.3432,                 1.1957,                 1.7246,                0.79002,                0.71309,                0.81853,                0.49423,                 1.3671,                 1.1594,                 1.8544,               0.003169,               0.003169,               0.003169
                     71,                 1.3461,                 1.1883,                 1.7217,                0.70908,                0.78699,                0.79438,                0.50525,                 1.2592,                 1.1604,                 1.7338,                0.00307,                0.00307,                0.00307
                     72,                 1.3589,                 1.1591,                 1.7266,                0.82971,                0.87063,                0.89589,                0.55962,                 1.2801,                0.96285,                 1.7613,               0.002971,               0.002971,               0.002971
                     73,                 1.3587,                 1.2138,                 1.7314,                0.84105,                0.80979,                0.90046,                0.56997,                 1.2911,                 1.0305,                 1.7682,               0.002872,               0.002872,               0.002872
                     74,                 1.3573,                 1.1803,                 1.7179,                0.84101,                0.83651,                0.89451,                0.56082,                 1.3108,                 1.0186,                 1.7592,               0.002773,               0.002773,               0.002773
                     75,                  1.353,                 1.1768,                 1.7203,                0.75903,                0.81164,                0.85882,                0.51789,                 1.3252,                 1.1038,                 1.7895,               0.002674,               0.002674,               0.002674
                     76,                 1.3231,                  1.169,                 1.7049,                0.79794,                0.80287,                0.86167,                0.51916,                 1.3329,                 1.1127,                 1.8514,               0.002575,               0.002575,               0.002575
                     77,                 1.3378,                 1.1596,                 1.7264,                0.87163,                 0.8024,                0.90012,                0.57846,                 1.2651,                0.99314,                 1.7591,               0.002476,               0.002476,               0.002476
                     78,                 1.3063,                 1.1368,                 1.7019,                0.88022,                0.83657,                0.92049,                0.57782,                 1.2949,                0.91449,                 1.7795,               0.002377,               0.002377,               0.002377
                     79,                 1.3078,                 1.1318,                 1.7041,                0.77681,                0.78799,                 0.8407,                0.54089,                   1.26,                 1.0465,                  1.759,               0.002278,               0.002278,               0.002278
                     80,                 1.2915,                 1.1307,                 1.6967,                0.84606,                0.83032,                0.90574,                0.56259,                 1.3593,                0.98412,                 1.7831,               0.002179,               0.002179,               0.002179
                     81,                 1.3201,                 1.1257,                 1.7141,                0.81034,                0.79268,                  0.882,                0.54695,                 1.3014,                 1.0311,                 1.7991,                0.00208,                0.00208,                0.00208
                     82,                 1.3106,                 1.1046,                 1.6957,                 0.7976,                0.85473,                0.90075,                0.54187,                  1.355,                0.97151,                 1.8323,               0.001981,               0.001981,               0.001981
                     83,                 1.2957,                 1.0867,                 1.6901,                0.81378,                0.79398,                0.85679,                0.46865,                 1.4889,                 1.0451,                 1.9688,               0.001882,               0.001882,               0.001882
                     84,                 1.2992,                 1.0986,                 1.6807,                0.82621,                0.84377,                0.89933,                 0.5547,                 1.2892,                0.93253,                 1.7682,               0.001783,               0.001783,               0.001783
                     85,                  1.263,                 1.1006,                 1.6481,                0.83927,                0.83655,                0.91091,                0.58797,                 1.2589,                0.92362,                 1.7489,               0.001684,               0.001684,               0.001684
                     86,                 1.2735,                 1.0673,                 1.6574,                0.84097,                 0.8553,                0.90073,                0.53402,                 1.3774,                0.95158,                 1.9028,               0.001585,               0.001585,               0.001585
                     87,                 1.2741,                 1.0602,                 1.6491,                0.87055,                0.79592,                0.88574,                0.56501,                 1.2791,                0.95083,                 1.7633,               0.001486,               0.001486,               0.001486
                     88,                 1.2528,                 1.0622,                 1.6407,                0.79352,                0.87392,                0.91126,                0.58624,                 1.2082,                0.95742,                 1.6991,               0.001387,               0.001387,               0.001387
                     89,                 1.2482,                 1.0477,                 1.6337,                0.85594,                0.86362,                0.93187,                0.61174,                 1.2386,                0.84618,                 1.7024,               0.001288,               0.001288,               0.001288
                     90,                 1.2634,                 1.0471,                 1.6441,                0.91954,                0.84763,                0.93998,                0.61257,                 1.2397,                0.83923,                 1.6966,               0.001189,               0.001189,               0.001189
                     91,                 1.1927,                0.95466,                 1.6003,                0.70506,                0.78802,                0.79347,                0.50715,                 1.3072,                  1.225,                 1.7576,                0.00109,                0.00109,                0.00109
                     92,                 1.2038,                0.84048,                  1.609,                0.80299,                0.79552,                0.87537,                0.58591,                 1.2164,                 1.0536,                  1.719,               0.000991,               0.000991,               0.000991
                     93,                 1.1576,                0.79983,                 1.5674,                0.92072,                0.83626,                0.93378,                0.62316,                 1.2189,                0.80864,                 1.7105,               0.000892,               0.000892,               0.000892
                     94,                 1.1357,                0.77323,                 1.5616,                0.87275,                 0.8361,                 0.9115,                0.60659,                 1.2193,                0.84952,                  1.707,               0.000793,               0.000793,               0.000793
                     95,                 1.1057,                 0.7686,                 1.5212,                0.87469,                0.85373,                0.92241,                0.62666,                 1.1622,                0.81681,                 1.6412,               0.000694,               0.000694,               0.000694
                     96,                 1.1099,                0.75437,                  1.525,                0.82272,                0.84357,                0.91126,                0.61822,                 1.1793,                0.82972,                 1.6568,               0.000595,               0.000595,               0.000595
                     97,                 1.0938,                0.73343,                 1.5019,                 0.8943,                0.87155,                 0.9345,                0.61835,                 1.2109,                0.77068,                 1.6823,               0.000496,               0.000496,               0.000496
                     98,                 1.1246,                0.72428,                 1.5372,                0.91364,                0.87565,                0.94069,                0.63423,                 1.1836,                0.76388,                 1.6588,               0.000397,               0.000397,               0.000397
                     99,                 1.0986,                0.72721,                 1.5059,                0.83913,                0.89773,                0.91062,                0.61181,                 1.1847,                0.81666,                 1.6467,               0.000298,               0.000298,               0.000298
                    100,                 1.0837,                0.72169,                 1.4972,                0.90947,                0.84858,                 0.9304,                0.63446,                 1.1569,                0.78404,                 1.6476,               0.000199,               0.000199,               0.000199
